Keyword,Clicks,Impressions,CTR,Position,Date,Page,Country,Device
como tomar un screenshot en android,0.0,1.0,0.0,84.0,2019-01-02,gsc_property,worldwide,desktop,
como vender,0.0,1.0,0.0,72.0,2019-01-02,gsc_property,worldwide,desktop,
comprar celulares en chile,0.0,1.0,0.0,74.0,2019-01-02,gsc_property,worldwide,desktop,
cuanto cuesta un celular en chile,0.0,1.0,0.0,83.0,2019-01-02,gsc_property,worldwide,desktop,
donde consigo helio,0.0,1.0,0.0,73.0,2019-01-02,gsc_property,worldwide,desktop,
ex19,0.0,1.0,0.0,8.0,2019-01-02,gsc_property,worldwide,desktop,
f3,0.0,6.0,0.0,4.166666666666666,2019-01-02,gsc_property,worldwide,desktop,
f5,0.0,1.0,0.0,25.0,2019-01-02,gsc_property,worldwide,desktop,
f7,0.0,7.0,0.0,9.857142857142858,2019-01-02,gsc_property,worldwide,desktop,
h2,0.0,1.0,0.0,19.0,2019-01-02,gsc_property,worldwide,desktop,
helio,0.0,1.0,0.0,30.0,2019-01-02,gsc_property,worldwide,desktop,
homologacion celular,0.0,3.0,0.0,10.666666666666666,2019-01-02,gsc_property,worldwide,desktop,
homologacion de celulares,0.0,2.0,0.0,40.0,2019-01-02,gsc_property,worldwide,desktop,
homologación celulares,0.0,1.0,0.0,11.0,2019-01-02,gsc_property,worldwide,desktop,
homologación de celular,0.0,1.0,0.0,9.0,2019-01-02,gsc_property,worldwide,desktop,
homologar celular,0.0,2.0,0.0,72.5,2019-01-02,gsc_property,worldwide,desktop,
homologar mi celular,0.0,1.0,0.0,73.0,2019-01-02,gsc_property,worldwide,desktop,
iphone 6s 128gb chile,0.0,1.0,0.0,65.0,2019-01-02,gsc_property,worldwide,desktop,
k-phone,0.0,1.0,0.0,4.0,2019-01-02,gsc_property,worldwide,desktop,
k10,0.0,4.0,0.0,9.75,2019-01-02,gsc_property,worldwide,desktop,
k10s,0.0,1.0,0.0,3.0,2019-01-02,gsc_property,worldwide,desktop,
k8s,0.0,1.0,0.0,54.0,2019-01-02,gsc_property,worldwide,desktop,
keiphone reclamos,0.0,1.0,0.0,5.0,2019-01-02,gsc_property,worldwide,desktop,
kphone,0.0,1.0,0.0,1.0,2019-01-02,gsc_property,worldwide,desktop,
ley de homologacion,0.0,1.0,0.0,8.0,2019-01-02,gsc_property,worldwide,desktop,
lg k10 2017 smartgsm,0.0,1.0,0.0,10.0,2019-01-02,gsc_property,worldwide,desktop,
lg k10 gsmarena,0.0,1.0,0.0,42.0,2019-01-02,gsc_property,worldwide,desktop,
lg k8 falabella,0.0,1.0,0.0,54.0,2019-01-02,gsc_property,worldwide,desktop,
que es helio,0.0,1.0,0.0,9.0,2019-01-02,gsc_property,worldwide,desktop,
que es helio?,0.0,1.0,0.0,10.0,2019-01-02,gsc_property,worldwide,desktop,
que es un celular homologado,0.0,1.0,0.0,53.0,2019-01-02,gsc_property,worldwide,desktop,
que pasa si mi celular no esta homologado,0.0,1.0,0.0,7.0,2019-01-02,gsc_property,worldwide,desktop,
reloj inteligente para niños chile,0.0,1.0,0.0,9.0,2019-01-02,gsc_property,worldwide,desktop,
reloj smartwatch,0.0,1.0,0.0,28.0,2019-01-02,gsc_property,worldwide,desktop,
relojes smart watch,0.0,1.0,0.0,101.0,2019-01-02,gsc_property,worldwide,desktop,
relojes smartwatch,0.0,1.0,0.0,53.0,2019-01-02,gsc_property,worldwide,desktop,
samsung k10,0.0,1.0,0.0,4.0,2019-01-02,gsc_property,worldwide,desktop,
smarphone,0.0,2.0,0.0,20.0,2019-01-02,gsc_property,worldwide,desktop,
smart wach,0.0,1.0,0.0,25.0,2019-01-02,gsc_property,worldwide,desktop,
smart watch,0.0,1.0,0.0,83.0,2019-01-02,gsc_property,worldwide,desktop,
smarthphone,0.0,2.0,0.0,25.0,2019-01-02,gsc_property,worldwide,desktop,
smartphone,0.0,5.0,0.0,22.8,2019-01-02,gsc_property,worldwide,desktop,
smartphone dual sim chile,0.0,1.0,0.0,33.0,2019-01-02,gsc_property,worldwide,desktop,
smartphones chile,0.0,1.0,0.0,35.0,2019-01-02,gsc_property,worldwide,desktop,
smartwatch,0.0,6.0,0.0,22.5,2019-01-02,gsc_property,worldwide,desktop,
smartwatch f1,0.0,1.0,0.0,6.0,2019-01-02,gsc_property,worldwide,desktop,
smartwatch keiphone f5,0.0,1.0,0.0,1.0,2019-01-02,gsc_property,worldwide,desktop,
spartan,0.0,1.0,0.0,37.0,2019-01-02,gsc_property,worldwide,desktop,
tienda smartphone,0.0,1.0,0.0,25.0,2019-01-02,gsc_property,worldwide,desktop,
todo smartphone chile,0.0,1.0,0.0,5.0,2019-01-02,gsc_property,worldwide,desktop,
usb type c,0.0,1.0,0.0,87.0,2019-01-02,gsc_property,worldwide,desktop,
valor celular,0.0,1.0,0.0,91.0,2019-01-02,gsc_property,worldwide,desktop,
venta de smartphone,0.0,1.0,0.0,34.0,2019-01-02,gsc_property,worldwide,desktop,
venta de smartwatch en chile,0.0,1.0,0.0,72.0,2019-01-02,gsc_property,worldwide,desktop,
venta smartphone,0.0,1.0,0.0,20.0,2019-01-02,gsc_property,worldwide,desktop,
vitacura 2902,0.0,1.0,0.0,11.0,2019-01-02,gsc_property,worldwide,desktop,
vtr sucursal virtual,0.0,1.0,0.0,69.0,2019-01-02,gsc_property,worldwide,desktop,
